,year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
118,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,39.1286931510484,1,0
119,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,31.5397884134219,1,0
120,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,5.11558624644314,1,0
121,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,43.5026803152777,1,0
122,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,238.964922500718,1,0
123,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,33.2565420053469,1,0
124,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,28.7963449641114,1,0
125,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,3.39069650138636,1,0
126,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,48.1148412010479,1,0
127,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,234.243053139768,1,0
128,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,26.1606994373968,1,0
129,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,26.808295636452,1,0
130,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,6.41787725146054,1,0
131,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,42.7960601337051,1,0
132,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,241.287048262014,1,0
133,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,34.5309560529594,1,0
134,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,27.9452765357007,1,0
135,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,8.10351962654392,1,0
136,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,40.8553755000045,1,0
137,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,243.742266788879,1,0
138,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,36.2552041838396,1,0
139,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,28.3358130760573,1,0
140,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,7.89340175327189,1,0
141,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,42.763857356835,1,0
142,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,244.71383057758,1,0
143,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,36.8916562169671,1,0
144,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,27.1325453143352,1,0
145,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,7.05749364824609,1,0
146,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,40.1381559027141,1,0
